replication,seed,population,strategy,peak_load_ratio,overcrowded_poi_time_pct,top_10_visit_share,visit_gini,district_entropy,catalog_coverage,tourist_satisfaction,recommendation_acceptance,mean_distance_km,budget_compliance,precision_at_5,recall_at_5,diversity,novelty,exposure_fairness,mean_sustainability,mean_local_economic,completed_visit_share
6,1006,5000,sustainability,0.6654545454545454,0.0,0.07635,0.40607666666666664,0.9999998479860404,0.9833333333333333,0.7176085107725609,0.3103,2.3995630583284435,1.0,0.41745,0.3259712100124677,0.8809050000000002,0.567716,0.5939233333333334,0.8194724999999998,0.7463875,1.0
7,1007,5000,popularity,1.3796791443850265,1.6666666666666667,0.778,0.8566750000000001,0.7155220533517461,0.4,0.5312257544339055,0.2854,1.710921651898735,1.0,0.15103,0.14744155675056797,0.8932150000000001,0.18024050000000003,0.14332499999999992,0.6786265000000001,0.6062125,1.0
7,1007,5000,personalized,0.6618181818181819,0.0,0.13875,0.3636233333333334,0.9750520043226492,0.9833333333333333,0.7853812691450371,0.29775,2.5915579802528925,1.0,0.70043,0.5605338923256397,0.3329,0.5391533,0.6363766666666666,0.807999,0.7171150000000001,1.0
7,1007,5000,sustainability,0.6690909090909091,0.0,0.0778,0.4096900000000001,0.9999995982393449,0.9833333333333333,0.7161404031145318,0.31065,2.430901999667813,1.0,0.41864000000000007,0.31739790186980205,0.8790350000000002,0.570789,0.5903099999999999,0.8207424999999999,0.745459,1.0
8,1008,5000,popularity,1.392513368983957,1.6666666666666667,0.7746,0.85636,0.670130483159567,0.4166666666666667,0.5321292181168317,0.2848,1.7151922462716458,1.0,0.15188000000000001,0.14977773198765457,0.89315,0.18027240000000003,0.14364,0.6779435,0.606395,1.0
8,1008,5000,personalized,0.7054545454545454,0.0,0.13965,0.35967499999999997,0.9742816174676121,0.9666666666666667,0.7867429101219247,0.2927,2.5903576145257854,1.0,0.70705,0.5753212297817851,0.33393500000000004,0.5408618,0.640325,0.8058805,0.7188694999999999,1.0
8,1008,5000,sustainability,0.68,0.0,0.07685,0.4110366666666667,0.9999998045674315,0.9666666666666667,0.7173937326226868,0.3112,2.3404697135411814,1.0,0.42452,0.3251525756048647,0.8782600000000003,0.5676651,0.5889633333333333,0.8203094999999999,0.74565,1.0
9,1009,5000,popularity,1.392513368983957,1.6666666666666667,0.77905,0.8558116666666666,0.6644376922018596,0.4,0.5325512975962754,0.28725,1.6893988448533483,1.0,0.15645,0.15012968654152864,0.893,0.18044420000000003,0.14418833333333336,0.676866,0.6067819999999999,1.0
9,1009,5000,personalized,0.7418181818181818,0.0,0.13805,0.3554366666666666,0.974305322046476,0.9666666666666667,0.7885890074348229,0.29275,2.5824001786296575,1.0,0.71031,0.5728739078620039,0.33368000000000003,0.5391218999999999,0.6445633333333334,0.806657,0.716882,1.0
9,1009,5000,sustainability,0.6690909090909091,0.0,0.07655,0.40643833333333346,0.9999988164640996,0.9833333333333333,0.7182890355313553,0.3075,2.391234463344792,1.0,0.42573,0.32373915116230517,0.8796050000000001,0.5685648,0.5935616666666665,0.8205955,0.744221,1.0
