strategy,slot,poi_id,poi_name,district,lat,lon,nominal_capacity,capacity,occupancy,load_ratio
personalized,2,P060,Palo Alto Barcelona,Sant Marti,41.4092,2.2098,500,275.0,28,0.10181818181818182
personalized,3,P001,Sagrada Familia,Eixample,41.4036,2.1744,900,495.00000000000006,10,0.0202020202020202
personalized,3,P002,Casa Batllo,Eixample,41.3917,2.1649,500,275.0,0,0.0
personalized,3,P003,La Pedrera,Eixample,41.3954,2.1619,550,302.5,2,0.006611570247933884
personalized,3,P004,Sant Antoni Market,Eixample,41.3789,2.16,700,385.00000000000006,107,0.2779220779220779
personalized,3,P005,Palau Robert Gardens,Eixample,41.3975,2.1598,650,357.50000000000006,104,0.29090909090909084
personalized,3,P006,Monumental Bullring,Eixample,41.4005,2.1807,450,247.50000000000003,49,0.19797979797979795
personalized,3,P007,Barcelona Cathedral,Ciutat Vella,41.3839,2.1762,650,357.50000000000006,43,0.12027972027972027
personalized,3,P008,Picasso Museum,Ciutat Vella,41.3853,2.1809,500,275.0,15,0.05454545454545454
personalized,3,P009,La Boqueria Market,Ciutat Vella,41.3817,2.1716,850,467.50000000000006,121,0.2588235294117647
personalized,3,P010,Santa Maria del Mar,Ciutat Vella,41.3839,2.1821,550,302.5,59,0.19504132231404958
personalized,3,P011,Maritime Museum,Ciutat Vella,41.3763,2.1752,600,330.0,22,0.06666666666666667
personalized,3,P012,Barceloneta Beach,Ciutat Vella,41.3784,2.1925,1400,770.0000000000001,104,0.13506493506493505
personalized,3,P013,Montjuic Castle,Sants-Montjuic,41.3634,2.1662,650,357.50000000000006,27,0.07552447552447551
personalized,3,P014,MNAC,Sants-Montjuic,41.3686,2.1536,700,385.00000000000006,24,0.06233766233766233
personalized,3,P015,Poble Espanyol,Sants-Montjuic,41.3693,2.1479,800,440.00000000000006,2,0.004545454545454545
personalized,3,P016,Joan Miro Foundation,Sants-Montjuic,41.368,2.1597,500,275.0,4,0.014545454545454545
personalized,3,P017,Montjuic Botanical Garden,Sants-Montjuic,41.3627,2.1592,650,357.50000000000006,0,0.0
personalized,3,P018,Hostafrancs Market,Sants-Montjuic,41.3752,2.1437,500,275.0,75,0.2727272727272727
personalized,3,P019,Camp Nou Experience,Les Corts,41.3809,2.1228,1000,550.0,12,0.02181818181818182
